# Pathway	ERR1305877_Abundance	ERR1305878_Abundance	ERR1305879_Abundance	ERR1305880_Abundance	ERR1305881_Abundance	ERR1305882_Abundance	ERR1305883_Abundance	ERR1305884_Abundance	ERR1305885_Abundance	ERR1305886_Abundance	ERR1305887_Abundance	ERR1305888_Abundance	ERR1305889_Abundance	ERR1305890_Abundance	ERR1305891_Abundance	ERR1305892_Abundance	ERR1305893_Abundance	ERR1305894_Abundance	ERR1305895_Abundance	ERR1305896_Abundance	ERR1305897_Abundance	ERR1305898_Abundance	ERR1305899_Abundance	ERR1305900_Abundance	ERR1305901_Abundance	ERR1305902_Abundance	ERR1305903_Abundance	ERR1305904_Abundance	ERR1305905_Abundance	ERR1305906_Abundance	ERR1305907_Abundance	ERR1305908_Abundance	ERR1305909_Abundance
UNMAPPED	322314	339196	287309	228667	236251	228840	216088	259301	264253	230302	350249	291562	320223	305055	354315	348721	337372	394398	411399	450393	293352	300580	333645	343046	356259	226621	267760	270296	266090	309272	352391	333153	214892
UNINTEGRATED	634228	622841	672415	731375	721991	729836	745681	708166	686873	733007	609556	671005	642502	654931	605098	610189	617045	563992	548123	511699	665856	662493	627755	615429	604265	724297	691728	692973	700190	649676	608947	629720	748816
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_fermentans	0	0	0	0	0	0	0	0	0	0	883.76	563.741	2317.82	0	0	7746.39	460.016	178.197	666.308	2639.94	0	0	0	0	0	5893.56	4710.87	2997.97	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_graevenitzii	0	0	0	0	0	0	49.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_odontolyticus	119.733	0	0	0	675.514	0	374.643	0	603.043	0	0	0	0	0	0	0	0	72.5809	190.458	0	0	0	122.755	152.414	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_ICM39	0	0	0	0	0	0	392.952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	0	0	93.8454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	720.773	203.794	818.325	0	0	0	599.473	328.554	2552.48	0	0	0	0	0	0	0	0	0	0	0	0	293.707	51.748	401.915	279.836	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Aeromonas.s__Aeromonas_hydrophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.915	0	0	0	0
UNINTEGRATED|g__Aeromonas.s__Aeromonas_veronii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504.125	0	4295.81	0	0	0	0	0	0	0
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.254	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	84.729	357.221	9478.85	3938.18	2017.28	0	1880.31	546.374	0	202.048	8420.57	2520.9	0	166.241	0	0	0	11794.2	17744.1	362.834	281.807	94.726	6113.08	536.061	1545.75	8833.55	19383.8	0	1840.44	809.627	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	580.501	1989.42	1996.04	0	0	815.271	0	1140.84	0	0	0	0	0	414.968	261.095	1024.46	0	0	149.83	0	0	0	0	0	0	1152.52	6936.85	702.396	4232.42	1366.71	2519.82	2667.55	1441.76
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	0	61.9824	3805.48	0	0	0	42.9658	45.0016	0	0	3349.75	0	0	0	0	0	0	0	0	0	0	0	449.879	230.951	221.411	124.907	538.394	239.887	414.741	54.6764	1058.45	1212.37	0
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	766.9	1087.9	1004.09	0	0	8135.11	2249.13	21133.7	0	0	483.107	2122.13	967.254	835.363	627.736	425.836	0	0	0	0	648.233	0	30779.2	32485.4	14019.8	8633.57	41213	2702.48	25926.5	6613.44	644.54	1742.63	704.654
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	4065.71	18864.6	8665.51	0	0	0	4140.49	37766.9	2753.37	0	9417.64	5858.42	12142.3	5753.21	21445.2	1949.27	1064.81	91.9257	150.404	181.799	12225.6	5776.36	10421.9	8791.44	9444.7	2903.39	31694.1	7184.2	1056.73	2178.1	455.37	6219.11	1965.65
UNINTEGRATED|g__Alistipes.s__Alistipes_senegalensis	772.062	969.466	600.949	0	0	0	0	0	254.601	0	0	0	0	764.777	925.705	133.916	0	690.241	351.553	804.627	841.325	0	3498.3	1856.14	1153.57	0	0	0	0	0	1040.05	1336.72	0
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	4449.12	2207.26	2833.16	4774.26	7196.84	3211.25	0	0	1828.98	0	1239.25	6105.5	685.336	597.967	1224.56	309.402	152.498	62.6511	287.663	378.388	2384.53	663.681	3637.38	5341.05	1658.35	780.835	3753.35	449.226	1856.94	936.566	4704.28	6052.26	1901.2
UNINTEGRATED|g__Alistipes.s__Alistipes_sp_HGB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15399.5	0	0	0	0	0	0	0	0	0	0	0	1586.55
UNINTEGRATED|g__Alloscardovia.s__Alloscardovia_omnicolens	0	0	0	0	0	0	0	0	318.198	0	80.7269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.2642	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	1361.9	0	4931.37	0	0	0	619.302	2365.91	2220.59	319.098	0	658.228	0	260.561	0	0	1541.33	322.54	0	297.605	0	0	423.787	385.763	3116.56	0	0	0	0	0	357.785	891.695	2280.74
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	1503.61	1767.37	3384.69	2793.37	2656.78	1064.14	832.15	1535.34	0	0	948.404	0	0	0	0	0	0	0	0	0	1243.01	0	0	0	0	0	699.049	0	1367.09	0	415.047	0	0
UNINTEGRATED|g__Atopobium.s__Atopobium_parvulum	0	0	0	0	57.2941	0	17.4166	0	50.9584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0056	0	35.3244	0	0	0	0	21.5812	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	1503.11	4723.75	3387.02	0	0	0	0	0	0	0	13277.7	39623.9	8432.4	13279	7135.6	0	0	0	0	1133.34	3741.89	5436.65	0	0	0	1635.02	5582.99	10330.6	3594.06	3332.11	2133.23	3204.53	30856.1
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	34245.2	18952.2	106690	10339.2	37594.6	0	0	2380.45	3777.42	1723.75	0	0	599.589	381.117	0	0	0	4458.17	1676.32	0	0	2901.99	0	0	0	4520.15	1173.84	1156.37	2261.21	35084.4
UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441.221	653.363	2453.95	0	0	105.743	740.734	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0	3441.8	3258.69	9559.42	1958.2	3560.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7491.52	26320.1	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	12409.2	7127.59	7927.96	69486.5	47937.8	142664	1798.23	18615.5	7710.92	116347	0	0	0	3578.01	1206.76	2948.88	1233.09	2226.38	2669.75	4305.31	5367.19	7287.75	29436.1	36488.2	21073.7	8454.25	10548.7	17000.3	52114.4	11308.4	4451.36	13438.2	176169
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	1212.68	6701.79	8459.44	0	0	0	0	0	0	0	0	0	0	893.669	905.248	552.921	0	0	0	0	0	0	0	0	0	0	0	0	1808.68	912.535	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	3701.41	0	0	32388.8	9356.24	18275.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2005.24	7318.74	0	0	0	0	4077.07	1983.66	0	0	2837.33	3419.06	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	735.292	1490.27	578.495	283.888	0	0	0	1196.57	0	0	0	0	910.332	7603.34	2173.16	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0	5398.75	0	17540.2	10484.7	40406.9	2998.39	0	0	32075.7	2674.51	9674.08	6397.75	0	0	0	0	0	0	0	4808.32	0	6348.28	8699.18	5436.17	0	0	0	0	0	2929.67	0	34881.7
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9868.55	15772.4	8003.49	0	0	0	0	0	0	0	0
